model,dataset,slice,n,accuracy,f1_macro
Full FT,sst2,Q1 (short),363,0.8898,0.8859
Full FT,sst2,Q2,627,0.9011,0.8965
Full FT,sst2,Q3,456,0.8794,0.8791
Full FT,sst2,Q4 (long),555,0.9189,0.9189
Full FT,sst2,Negation present,147,0.898,0.882
Full FT,sst2,No negation,1854,0.8991,0.8968
LoRA r=8,sst2,Q1 (short),363,0.8595,0.8531
LoRA r=8,sst2,Q2,627,0.8421,0.8341
LoRA r=8,sst2,Q3,456,0.818,0.8163
LoRA r=8,sst2,Q4 (long),555,0.8324,0.8324
LoRA r=8,sst2,Negation present,147,0.8231,0.7801
LoRA r=8,sst2,No negation,1854,0.8382,0.8329
Adapter,sst2,Q1 (short),363,0.8898,0.8864
Adapter,sst2,Q2,627,0.8581,0.8527
Adapter,sst2,Q3,456,0.8268,0.8261
Adapter,sst2,Q4 (long),555,0.845,0.8449
Adapter,sst2,Negation present,147,0.8299,0.7836
Adapter,sst2,No negation,1854,0.8549,0.8519
Full FT,amazon,Q1 (short),499,0.9218,0.92
Full FT,amazon,Q2,481,0.9272,0.9272
Full FT,amazon,Q3,493,0.9128,0.9127
Full FT,amazon,Q4 (long),528,0.8769,0.8763
Full FT,amazon,Negation present,1199,0.9058,0.9029
Full FT,amazon,No negation,802,0.914,0.9041
LoRA r=8,amazon,Q1 (short),499,0.8697,0.8681
LoRA r=8,amazon,Q2,481,0.8857,0.8856
LoRA r=8,amazon,Q3,493,0.8519,0.8519
LoRA r=8,amazon,Q4 (long),528,0.8295,0.8275
LoRA r=8,amazon,Negation present,1199,0.8449,0.839
LoRA r=8,amazon,No negation,802,0.8791,0.867
Adapter,amazon,Q1 (short),499,0.8758,0.8736
Adapter,amazon,Q2,481,0.9002,0.9002
Adapter,amazon,Q3,493,0.854,0.8539
Adapter,amazon,Q4 (long),528,0.8239,0.8218
Adapter,amazon,Negation present,1199,0.8515,0.8454
Adapter,amazon,No negation,802,0.8791,0.8654
