Method,Dataset,Macro F1,Accuracy,Trainable Params,% of Full FT Params,Train Time (s),Inference (ms/sample)
Adapter,AG News,0.8648,0.8666,1211140,1.809,59.98,0.169
Full FT,AG News,0.9191,0.9195,66956548,100.002,72.53,0.127
LoRA r=8,AG News,0.8712,0.8721,741124,1.107,58.92,0.176
Prompt Tuning,AG News,0.8701,0.8711,609028,0.91,54.84,0.117
TF-IDF + SVM,AG News,0.8978,0.8986,80000,0.119,0.17,0.0004
Adapter,Amazon Polarity,0.8626,0.8626,1209602,1.807,61.56,0.179
Full FT,Amazon Polarity,0.909,0.909,66955010,100.0,77.82,0.136
LoRA r=8,Amazon Polarity,0.8586,0.8586,739586,1.105,61.0,0.161
Prompt Tuning,Amazon Polarity,0.7332,0.7346,607490,0.907,56.68,0.128
TF-IDF + SVM,Amazon Polarity,0.8448,0.8451,40000,0.06,0.06,0.0003
Adapter,SST-2,0.8516,0.8531,1209602,1.807,58.25,0.162
Full FT,SST-2,0.8978,0.8991,66955010,100.0,68.78,0.126
LoRA r=8,SST-2,0.8342,0.8371,739586,1.105,56.03,0.214
Prompt Tuning,SST-2,0.4596,0.5992,607490,0.907,51.86,0.119
TF-IDF + SVM,SST-2,0.8112,0.8151,30662,0.046,0.03,0.0001
