method,type,f1_sst2,acc_sst2,gap_sst2,f1_ag_news,acc_ag_news,gap_ag_news,f1_amazon,acc_amazon,gap_amazon
TF-IDF + LR,Classical,0.7874,0.7946,11.04,0.8948,0.8956,2.43,0.8434,0.8436,6.56
TF-IDF + SVM,Classical,0.8112,0.8151,8.66,0.8978,0.8986,2.13,0.8448,0.8451,6.42
Zero-Shot,Zero-Shot,0.6465,0.6882,25.13,0.3468,0.3993,57.23,0.6108,0.6447,29.82
Full FT,Upper Bound,0.8978,0.8991,0.0,0.9191,0.9195,0.0,0.909,0.909,0.0
LoRA r=4,PEFT,0.838,0.8406,5.98,0.8717,0.8726,4.74,0.8616,0.8616,4.74
LoRA r=8,PEFT,0.8342,0.8371,6.36,0.8712,0.8721,4.79,0.8586,0.8586,5.04
LoRA r=16,PEFT,0.8336,0.8366,6.42,0.8712,0.8721,4.79,0.8596,0.8596,4.94
LoRA r=32,PEFT,0.8348,0.8376,6.3,0.8702,0.8711,4.89,0.8611,0.8611,4.79
Adapter,PEFT,0.8516,0.8531,4.62,0.8648,0.8666,5.43,0.8626,0.8626,4.64
Prompt Tuning,PEFT,0.4596,0.5992,43.82,0.8701,0.8711,4.9,0.7332,0.7346,17.58
Soft Prompt,PEFT,0.4947,0.6142,40.31,0.8711,0.8721,4.8,0.7571,0.7581,15.19
