model,dataset,metric,is_multiseed,seed_42,seed_0,seed_123,mean,std,ci_lo_95,ci_hi_95,ci_width
full_ft,sst2,accuracy,True,0.8931,0.8896,0.8921,0.8916,0.0018,0.8896,0.8931,0.0035
full_ft,sst2,f1_macro,True,0.8917,0.8881,0.8907,0.8902,0.0019,0.8881,0.8917,0.0036
full_ft,ag_news,accuracy,True,0.919,0.92,0.915,0.918,0.0026,0.915,0.92,0.005
full_ft,ag_news,f1_macro,True,0.9186,0.9196,0.9143,0.9175,0.0028,0.9143,0.9196,0.0053
full_ft,amazon,accuracy,True,0.907,0.908,0.908,0.9077,0.0006,0.907,0.908,0.001
full_ft,amazon,f1_macro,True,0.907,0.908,0.908,0.9077,0.0006,0.907,0.908,0.001
lora_r8,sst2,accuracy,True,0.8351,0.8356,0.8311,0.8339,0.0025,0.8311,0.8356,0.0045
lora_r8,sst2,f1_macro,True,0.8322,0.8326,0.8276,0.8308,0.0028,0.8276,0.8326,0.005
lora_r8,ag_news,accuracy,True,0.8606,0.8701,0.8651,0.8653,0.0048,0.8606,0.8701,0.0095
lora_r8,ag_news,f1_macro,True,0.8592,0.8692,0.8639,0.8641,0.005,0.8592,0.8692,0.01
lora_r8,amazon,accuracy,True,0.8576,0.8591,0.8621,0.8596,0.0023,0.8576,0.8621,0.0045
lora_r8,amazon,f1_macro,True,0.8576,0.8591,0.8621,0.8596,0.0023,0.8576,0.8621,0.0045
adapter,sst2,accuracy,True,0.8501,0.8546,0.8511,0.8519,0.0024,0.8501,0.8546,0.0045
adapter,sst2,f1_macro,True,0.8486,0.8529,0.8494,0.8503,0.0023,0.8486,0.8529,0.0043
adapter,ag_news,accuracy,True,0.8386,0.8696,0.8136,0.8406,0.0281,0.8136,0.8696,0.056
adapter,ag_news,f1_macro,True,0.8376,0.8682,0.8056,0.8371,0.0313,0.8056,0.8682,0.0626
adapter,amazon,accuracy,True,0.8696,0.8656,0.8656,0.8669,0.0023,0.8656,0.8696,0.004
adapter,amazon,f1_macro,True,0.8696,0.8656,0.8656,0.8669,0.0023,0.8656,0.8696,0.004
prompt_tuning,sst2,accuracy,True,0.5837,0.6077,0.5917,0.5944,0.0122,0.5837,0.6077,0.024
prompt_tuning,sst2,f1_macro,True,0.423,0.4792,0.4445,0.4489,0.0284,0.423,0.4792,0.0562
prompt_tuning,ag_news,accuracy,True,0.8341,0.8706,0.8596,0.8548,0.0187,0.8341,0.8706,0.0365
prompt_tuning,ag_news,f1_macro,True,0.8323,0.8696,0.8574,0.8531,0.019,0.8323,0.8696,0.0373
prompt_tuning,amazon,accuracy,True,0.7616,0.7486,0.7621,0.7574,0.0077,0.7486,0.7621,0.0135
prompt_tuning,amazon,f1_macro,True,0.7603,0.7482,0.7616,0.7567,0.0074,0.7482,0.7616,0.0134
